fname,location,year,camera
01.JPG,baltimore,2021,iPhone 11
02.JPG,washington dc,2021,iPhone 11
03.jpeg,baltimore,2022,iPhone 11
04.jpg,baltimore,2021,iPhone 11
05.JPG,seattle,2018,iPhone 6S
06.JPG,new york city,2021,iPhone 11
07.jpg,new york city,2021,iPhone 11
08.png,montreal,2017,iPhone 6S
09.heic,philadelphia,2019,iPhone 6S
10.JPG,baltimore,2021,iPhone 11
11.JPG,atlanta,2017,iPhone 6S
12.JPG,washington dc,2018,iPhone 6S
13.jpg,washington dc,2019,iPhone 11
14.png,montreal,2016,Galaxy S5
15.JPG,baltimore,2019,iPhone 6S
16.JPG,philadelphia,2018,iPhone 6S
17.JPG,washington dc,2018,iPhone 6S
18.JPG,baltimore,2022,iPhone 11
19.JPG,pittsburgh,2017,iPhone 6S
20.JPG,chicago,2018,iPhone 6S
21.JPG,alexandria,2018,iPhone 6S
22.JPG,baltimore,2022,iPhone 11
23.heic,baltimore,2019,iPhone 11
24.JPG,washington dc,2020,iPhone 11
25.JPG,chicago,2018,iPhone 6S
26.jpg,boston,2016,Galaxy S5
27.heic,philadelphia,2020,iPhone 11
28.JPG,baltimore,2019,iPhone 6S
29.JPG,baltimore,2021,iPhone 11
30.jpg,baltimore,2022,iPhone 11
31.JPG,philadelphia,2019,iPhone 6S
32.JPG,atlanta,2017,iPhone 6S
33.JPG,washington dc,2019,iPhone 11
34.png,new york city,2015,Galaxy S5
35.jpg,boston,2014,Galaxy S5
36.JPG,boston,2017,iPhone 6S
37.JPG,montreal,2016,Galaxy S5
38.jpg,boston,2014,Galaxy S5
39.JPG,washington dc,2019,iPhone 11
40.JPG,new york city,2021,iPhone 11
41.JPG,baltimore,2021,iPhone 11
42.JPG,new haven,2021,iPhone 11
43.jpg,baltimore,2021,iPhone 11
44.jpg,washington dc,2022,iPhone 11
45.jpg,portland,2021,iPhone 11
46.jpg,washington dc,2021,iPhone 11
47.jpg,portland,2021,iPhone 11
48.jpg,new haven,2021,iPhone 11
49.jpg,new haven,2021,iPhone 11
50.jpg,new haven,2021,iPhone 11
51.jpg,baltimore,2020,iPhone 11
52.jpg,new haven,2021,iPhone 11
53.heic,baltimore,2020,iPhone 11
54.heic,baltimore,2019,iPhone 11
55.JPG,baltimore,2022,iPhone 11
56.JPG,baltimore,2022,iPhone 11
57.JPG,boston,2021,iPhone 11
58.jpg,baltimore,2020,iPhone 11
59.JPG,boston,2021,iPhone 11
60.jpeg,philadelphia,2020,iPhone 11
61.JPG,new york city,2021,iPhone 11
62.JPG,miami,2022,iPhone 11
63.JPG,miami,2022,iPhone 11
64.JPG,miami,2022,iPhone 11
65.jpeg,berlin,2022,iPhone 11
66.jpeg,berlin,2022,iPhone 11
67.jpeg,berlin,2022,iPhone 11
68.jpeg,berlin,2022,iPhone 11
69.jpeg,berlin,2022,iPhone 11
70.jpg,berlin,2022,iPhone 11
71.jpg,munich,2022,iPhone 11
72.jpg,munich,2022,iPhone 11
73.jpg,berlin,2022,iPhone 11
74.jpg,berlin,2022,iPhone 11
75.jpg,berlin,2022,iPhone 11
76.jpg,berlin,2022,iPhone 11
77.jpg,berlin,2022,iPhone 11
78.jpg,berlin,2022,iPhone 11
79.jpg,berlin,2022,iPhone 11
80.jpg,munich,2022,iPhone 11
81.jpg,munich,2022,iPhone 11
82.jpg,berlin,2022,iPhone 11
83.jpg,munich,2022,iPhone 11